PLATEIFU,Re_kpc,SNR_HI,kappa,kappa_statErr,af,af_statErr,cv,cv_statErr,Dn4000,M_all,class_con,inclination,OBJRA,OBJDEC,nsa_iauname,Z,VOPT,SESSION,PEAK,FHI,EFHI,LOGMHI,VHI,EV,WP50,conflag,conf_prob
8999-6102,2.624287933553339,13.566846934833825,-0.0762027667240142,0.0121824913687764,1.0177326516323948,0.0243721029651719,2.637586863659044,0.123133791269579,1.6882505416870117,10.018342599075824,QS,62.905941207245284,164.55153,50.213455,J105812.36+501248.3,0.0235093,7047.9,AGBT17A_012_136-AGBT17A_012_140,0.008950775,1.5775887,0.14045647,9.57172,7049.937,14.689064,352.9983,0,0.0
9511-1901,0.9683552635633542,6.324187741644934,-0.0269410828929546,0.0212757405993557,1.0343604485208502,0.1045197961133512,2.66088374901209,0.3950100663661334,1.773363471031189,9.524420789849177,QS,33.52022535416504,128.91164,4.75706,J083538.78+044525.3,0.0140503,4212.2905,ALFALFA,0.006480648,0.77,0.06,8.86,4230.0,12.5,-999.0,0,0.0
8450-6101,2.534946770473953,16.50873112747705,0.0185881434185388,0.0109953604637708,1.0200486313542416,0.0197819563961364,3.303030303030303,0.2446400116276826,1.70990788936615,10.189054958881458,QS,38.71751411585324,172.14317,21.010696,J112834.36+210038.5,0.0207675,6226.0933,ALFALFA,0.005939745,1.47,0.1,9.48,6229.0,5.0,-999.0,0,0.0
8240-12705,4.830071854832633,7.370975765385379,-0.0386711027537704,0.0142853556982758,1.487697794048258,0.1060318954633644,3.924103071921933,0.3555484487216929,1.357738733291626,9.478251842775393,SF,66.68967917517949,125.31636,44.33286,J082115.89+442005.0,0.0242268,7263.0,AGBT20B_033_88-AGBT20B_033_90,0.0054557123,0.71460086,0.13610344,9.254737,7273.137,31.355768,288.69717,0,0.0
12510-6104,2.960217292184341,7.762889383970311,-0.047771712016964,0.0239828627085048,1.154028333092113,0.1102421390084987,2.83739837398374,0.1732377795484281,1.5691651105880737,9.812490883357063,SF,51.6636216384445,204.24403,0.22567931,J133658.40+001330.0,0.021748986,6520.346,ALFALFA,0.004900327,1.89,0.14,9.63,6555.0,32.5,-999.0,0,0.0
8337-6102,3.3792419170797894,17.64966598767368,-0.1175749878285182,0.0083695973623797,1.2696089111478992,0.0409322749139097,2.470320390014479,0.1264348254558953,1.8963313102722168,10.404649016704395,QS,42.44126406942251,214.6421,37.02442,J141834.10+370127.9,0.0327929,9831.1,AGBT20B_033_162,0.0070930524,1.0088255,0.14888227,9.665735,9844.487,7.85823,469.5923,0,0.0
11760-6103,3.559145162882688,20.094999225281555,-0.0428156061498949,0.0103991085881323,1.1041357947921333,0.0445942535948064,3.141412415727199,0.0872797437943103,1.5963654518127441,9.960606372308408,QS,53.68466787051497,191.05948,50.231674,J124414.27+501353.9,0.02806609,8414.0,AGBT20B_033_155,0.012144536,2.3383856,0.10963461,9.898694,8445.628,7.117191,384.86258,0,0.0
9093-3701,2.493414370369767,8.849760622612493,0.0149714936703865,0.0157645374408645,1.8176787528623608,0.1126698279863222,4.806451612903226,0.1164595519306829,1.8738669157028198,10.249019709400816,QS,37.45637243281757,240.67075,27.207403,J160240.97+271226.6,0.0318292,9542.409,ALFALFA,0.0050993543,1.04,0.08,9.66,9472.0,23.0,-999.0,1,0.004000000189989805
8942-12702,8.60666196024289,24.737652544406316,-0.1010012992088171,0.0043981751630658,1.1693402631484715,0.0203961893349073,2.370014637394114,0.0421614439265968,1.5178707838058472,10.258879022172602,SF,34.17035318536462,124.00331,27.075895,J081600.79+270433.1,0.0254964,7643.818,ALFALFA,0.015442867,4.67,0.1,10.14,7665.0,1.5,-999.0,0,0.0
8274-6101,2.7736269917135408,21.10964565601177,-0.1038213714509115,0.0093499409546198,1.1387689901685962,0.0384493685298639,2.18703144502154,0.1575521068707944,1.7965302467346191,10.070735872677332,QS,27.74259766978868,163.73479,41.498463,J105456.35+412954.3,0.0246276,7383.2,AGBT16A_095_14-AGBT17A_012_319,0.008011566,1.5056099,0.08806178,9.5940695,7406.0967,18.92198,317.18253,0,0.0
11760-6103,3.559145162882688,20.094999225281555,-0.0428156061498949,0.0103991085881323,1.1041357947921333,0.0445942535948064,3.141412415727199,0.0872797437943103,1.5963654518127441,9.960606372308408,QS,53.68466787051497,191.05948,50.231674,J124414.27+501353.9,0.02806609,8414.0,AGBT20B_033_155,0.012144536,2.3383856,0.10963461,9.898694,8445.628,7.117191,384.86258,0,0.0
8724-3704,2.836306493170431,13.624070709157976,0.0146051870887836,0.016851572213581,1.452384735578623,0.0428805014323261,3.503448063315231,0.2836553828091548,1.436801552772522,9.269176586011943,SF,62.59590402384919,132.26152,53.838512,J084902.76+535018.7,0.0303557,9100.4,AGBT17A_012_30-AGBT17A_012_36,0.0074526505,1.248,0.09929157,9.678865,8983.71,11.1209,386.20145,0,0.0
8095-6102,2.1895300905484096,5.628223469766255,0.0114755134884098,0.0259252887803655,1.011370035146757,0.3477975100345495,4.781099476393289,0.699706965420508,1.3530315160751343,9.796869774947387,SF,51.71735113898184,25.879951,14.397114,J014331.18+142349.5,0.0240713,7216.5605,ALFALFA,0.004275699,1.16,0.09,9.43,7202.0,3.0,-999.0,0,0.0
8569-6104,2.096134797062112,12.782965368475471,-0.1057614031710144,0.0109596803823461,1.362768591581472,0.0670336758273241,2.229946524064171,0.1700183406898665,1.6159276962280273,9.426413656131688,QS,62.89341480026602,9.9097185,14.664261,J003938.31+143951.2,0.0174239,5223.6733,ALFALFA,0.0067769345,1.86,0.09,9.37,5207.0,2.5,-999.0,0,0.0
9489-3703,2.0042518679266275,13.623612623669516,0.0268630591681289,0.0086295364108336,1.5932668620252195,0.2538462359712704,4.102738179563344,0.1367126789563151,1.2209440469741821,9.13858055772912,SF,32.23950663855883,126.12109,21.044521,J082429.10+210244.0,0.0217955,6534.1,AGBT19A_127_10,0.015060119,1.2345454,0.09560974,9.397625,6519.728,19.430374,73.518234,0,0.0
8135-12705,5.204999438939262,10.414978999643424,-0.0585824168104992,0.0187762622812069,1.2191184778588735,0.0208126143007814,2.7763975155279503,0.205244881708018,1.3993377685546875,9.576954919121551,SF,78.77242170389727,115.44314,37.615536,J074146.28+373655.0,0.0265046,7945.9,AGBT17A_012_67,0.0072397334,1.1040001,0.08988425,9.521144,7956.07,4.53878,285.15707,0,0.0
8439-6103,3.5152968473130293,14.354831056413223,-0.0107234414840743,0.0069573123046148,1.1353018770706114,0.0749339330479444,4.60349698934692,0.2534979474653027,1.4579697847366333,10.024374822259768,SF,73.28549365235358,141.34418,50.55368,J092522.60+503313.2,0.0253001,7584.8,AGBT17A_012_6,0.009591409,1.4760001,0.13402677,9.608049,7602.65,16.4444,387.5217,0,0.0
8992-12703,5.942645862506459,27.083116330595946,0.0331427036442038,0.008040803263465,1.0455240126277885,0.0387811767805248,3.4322172581739143,0.1107653772209494,1.4185221195220947,9.715418322595056,SF,22.41288668747019,172.79857,51.698067,J113111.65+514153.0,0.023051,6910.5,AGBT17A_012_162,0.023673039,2.2509303,0.113853924,9.710081,6920.3447,14.546014,94.16031,0,0.0
8134-12705,3.6719607101423257,22.42956225040917,-0.0134524692236829,0.0070507931224625,1.042197247232431,0.0332180325320353,3.227002201998024,0.0626688499722683,1.3880013227462769,9.139230307385668,SF,53.52336566171109,114.67302,45.943653,J073841.53+455637.1,0.0178659,5356.1,AGBT17A_012_48,0.011936051,1.7520001,0.0780216,9.379314,5353.76,8.10009,208.43996,0,0.0
12495-1901,1.0579025672868587,10.214524252489651,0.0088007564135818,0.01923373131841,1.4753396323524712,0.1194529500721869,4.040282415372774,0.3381013022269754,1.3434725999832153,9.44830058284799,SF,42.105214163846014,161.2818,3.6746058,J104507.63+034028.5,0.018908683,5668.823,ALFALFA,0.0065132976,1.79,0.1,9.49,5649.0,2.0,-999.0,0,0.0
8654-1901,4.363781725135626,7.645277100108871,-0.047897009391116,0.0138042829394447,1.0758085394694197,0.0697227447314788,2.822763747111434,0.3302493057111872,1.368425726890564,9.701266550899806,SF,55.73606574480247,354.80432,1.0015366,J233913.03+010005.3,0.040481,12136.197,ALFALFA,0.007636901,2.21,0.13,10.17,12135.0,2.0,-999.0,0,0.0
8248-12705,12.552459914540593,10.375329089901898,-0.0896904580022337,0.0159775047168223,1.0748467339114265,0.0378481869203156,2.308127556121458,0.2407170115892127,2.00639009475708,10.774292826544904,QS,21.60259268368932,138.55315,16.742325,J091412.75+164432.3,0.0278546,8350.794,ALFALFA,0.014050241,3.48,0.09,10.1,8368.0,1.0,-999.0,0,0.0
9865-3703,3.885815729817404,5.221020259429804,0.1164782044532737,0.0473512183317,1.3805533015187843,0.1722040987159699,6.839312113969837,1.2796696277130142,1.7942696809768677,10.353339095311304,QS,62.8312880011874,226.08994,50.69755,J150421.57+504151.1,0.0373618,11200.8,AGBT17A_012_328,0.005053546,0.23501816,0.104428105,9.142505,11179.659,13.19525,69.42566,0,0.0
8453-3702,2.66097215116262,33.105091464357365,-0.0683934003437056,0.0030230079634049,1.0446424118368778,0.0178916228838309,2.787123403757926,0.0541549757726582,1.6852115392684937,10.050375888973697,QS,65.01188864175336,152.54536,46.952267,J101010.88+465708.1,0.0253024,7585.5,AGBT17A_012_245-AGBT17A_012_259,0.015571076,3.1279423,0.2213419,9.934427,7604.4272,6.2670503,403.49274,0,0.0
8144-12701,5.0705378293429275,18.662627716242927,-0.0357885441637277,0.0089008015338368,1.1409946902325332,0.0176491514875686,2.9595155967074094,0.123059663756778,1.4153162240982056,9.547699650847807,SF,28.80008593521764,114.83597,27.36062,J073920.61+272138.5,0.0267264,8012.5884,ALFALFA,0.010377814,1.71,0.07,9.74,8010.0,2.0,-999.0,0,0.0
8453-3703,2.188484974425534,5.385424430678271,-0.0113458275832678,0.0414413729132888,1.090011242797292,2.09564512635601,3.8346582348497673,0.3840824047737448,1.6103332042694092,9.53217323290861,QS,41.64315105481221,153.75261,46.756752,J101500.62+464524.3,0.0246439,7388.1,AGBT17A_012_245,0.005559903,0.29359204,0.0752857,8.874306,7324.6475,17.451529,71.86224,0,0.0
8443-6102,3.551005890592345,11.185854214152334,-0.062564367306091,0.0181253708335178,1.0105189195400217,0.0671616241443812,2.7768382158486897,0.1497448473949394,1.8281852006912231,10.191291688039225,QS,39.85601018105295,207.06157,24.77772,J134814.78+244639.8,0.0274142,8218.784,ALFALFA,0.007568132,1.45,0.06,9.7,8224.0,2.0,-999.0,0,0.0
8999-12701,3.638632295926031,14.523384053175354,0.0326996789026882,0.0144819113283219,1.0495684817109687,0.0958969106970297,4.121951219512195,0.2213323901734305,1.2750253677368164,9.648941283633974,SF,41.80965766651791,163.06386,49.695698,J105215.32+494144.5,0.0227975,6834.5,AGBT17A_012_136,0.008771524,1.1560144,0.120225675,9.41161,6847.986,55.97431,153.10507,0,0.0
8461-12703,3.318058708725973,86.7127658961646,-0.0710984583331555,0.0010801874103091,1.015325266966159,0.0042882572922562,2.5996363028809437,0.0179519173271225,1.330716609954834,9.34160069204006,SF,68.02962933407525,147.32578,43.35172,J094918.19+432106.2,0.0164167,4921.6,AGBT17A_012_286-AGBT17A_012_89,0.030008236,5.295514,0.083129294,9.790322,4940.931,3.0711448,228.27022,0,0.0
11826-9101,3.6705845679188185,58.39599880237228,0.0641000100499116,0.0033143134856632,1.077741991953155,0.02227435012201,4.132398316970548,0.0738729635646536,1.2074438333511353,9.670632277435029,SF,35.136364333947206,187.89366,37.980553,J123134.40+375846.0,0.02376603,7124.9,AGBT20B_033_101,0.042958662,3.225505,0.09223238,9.89128,7123.4907,4.8996024,62.145416,0,0.0
7962-12704,3.9369869660458705,19.941450911246683,0.0448172302748824,0.0082623559020469,1.387664086121528,0.0547807522838995,3.953092507474316,0.2063142372077947,1.3338204622268677,9.821464397290754,SF,39.19284411965504,260.8831,27.45871,J172331.93+272731.3,0.0223086,6688.0,AGBT17A_012_03,0.007637395,1.3494955,0.14541864,9.462549,6719.861,71.481766,244.7696,0,0.0
9189-1902,1.2403337930996428,22.55194962388967,-0.0227115229737389,0.0111318083488688,1.2238246309476242,0.0348672819823076,2.937888198757764,0.0919938083368429,1.5829087495803833,9.389879867582028,QS,37.65292463362275,53.09431,-6.3109674,J033222.63-061839.5,0.0352517,10568.2,AGBT19A_127_13,0.011009935,2.7970684,0.22883712,10.179745,10687.7705,23.31614,403.39133,0,0.0
8453-3703,2.188484974425534,5.385424430678271,-0.0113458275832678,0.0414413729132888,1.090011242797292,2.09564512635601,3.8346582348497673,0.3840824047737448,1.6103332042694092,9.53217323290861,QS,41.64315105481221,153.75261,46.756752,J101500.62+464524.3,0.0246439,7388.1,AGBT17A_012_245,0.005559903,0.29359204,0.0752857,8.874306,7324.6475,17.451529,71.86224,0,0.0
9488-6103,2.1123586646511088,6.086761883611061,0.0966297009130439,0.0183914572143085,1.0384993426585116,0.2918625096763071,6.848433568747436,0.8239520593640667,1.591532588005066,9.386572084954564,QS,63.63230298093508,125.32921,21.44684,J082118.98+212648.6,0.0151547,4543.3,AGBT17A_012_269,0.0047669667,0.23342721,0.05713252,8.357752,4521.9097,28.471428,50.963478,0,0.0
8588-3704,2.672479104119528,5.518762446804368,0.0367460491554546,0.0394857207538201,1.3697742466321483,0.62641129373515,4.152547109549664,0.6107216715796919,1.7365087270736694,10.175934884893158,QS,28.0146985646062,250.96927,39.9834,J164352.62+395900.2,0.0299994,8993.0,16A-50,0.005916001,0.42000002,0.05681186,9.203509,8989.0,21.08,97.30815,0,0.0
10222-12701,3.331185936848069,35.66330600228778,-0.0488258028754117,0.0075564777510639,1.1047013421988037,0.010984104264277,2.8451612903225807,0.040596889681645,1.7940349578857422,10.123247126608419,QS,63.17079269365845,43.097507,-8.51039,J025223.39-083037.4,0.0167549,5023.0,AGBT20B_033_79,0.022309147,4.67739,0.1688316,9.750629,5023.064,4.328804,371.58334,0,0.0
11872-3703,2.5580376634268536,22.05794092982997,-0.0186701352996674,0.0084692573214987,1.1634102319655322,0.0299090115235544,3.3233532934131738,0.1285563182557386,1.8776763677597046,10.098802257621186,QS,50.56624101782453,180.7892,54.2226,J120309.39+541321.3,0.029677473,8897.1,AGBT20B_033_125,0.005019326,1.3927331,0.15726954,9.7166605,8878.794,18.57004,520.1103,0,0.0
